"genename"	"genestatus"
"AAAS"	1
"AASDHPPT"	1
"ABCA13"	1
"ABCE1"	1
"ABI2"	1
"ABI3"	1
"ACAD10"	1
"ACADS"	1
"ACIN1"	1
"ACN9"	1
"ACO2"	1
"ACP1"	1
"ACRBP"	1
"ACSL1"	1
"ACTA1"	1
"ACTC1"	1
"ACTN1"	1
"ACTR6"	1
"ACY1"	1
"ADAM8"	0
"ADAMTS4"	1
"ADAMTS7"	1
"ADAMTSL5"	0
"ADCK5"	0
"ADNP2"	1
"ADORA3"	1
"AFF1"	1
"AFMID"	0
"AFTPH"	1
"AGAP2"	1
"AGBL5"	1
"AGL"	1
"AGPAT2"	0
"AHCY"	1
"AHCYL1"	1
"AHDC1"	1
"ALDH3B2"	1
"ALDOA"	1
"ALG14"	1
"AMBRA1"	1
"AMMECR1L"	1
"AMN1"	1
"ANAPC16"	1
"ANAPC7"	1
"ANKFY1"	1
"ANKHD1-EIF4EBP3"	1
"ANKRD12"	1
"ANKRD13A"	1
"ANKRD17"	1
"ANKRD31"	1
"ANKRD36BP1"	1
"ANKRD39"	1
"ANLN"	1
"ANP32B"	1
"ANP32D"	1
"ANXA7"	1
"APC"	1
"APC2"	0
"APOE"	1
"APOL6"	1
"APPBP2"	1
"ARFGEF1"	1
"ARG2"	1
"ARHGDIA"	1
"ARHGEF1"	1
"ARHGEF10L"	1
"ARHGEF2"	1
"ARHGEF5"	1
"ARID1A"	1
"ARID3A"	1
"ARID4A"	1
"ARIH1"	1
"ARL10"	1
"ARL13B"	1
"ARL5B"	1
"ARL6"	1
"ARPC1A"	1
"ARRDC3"	1
"ARSK"	1
"ASH2L"	1
"ASIP"	1
"ASNA1"	1
"ASPM"	1
"ASPSCR1"	0
"ASTE1"	1
"ASXL2"	1
"ATAD2B"	1
"ATAD5"	1
"ATF2"	1
"ATF4"	0
"ATF7"	1
"ATF7IP"	1
"ATG14"	1
"ATG3"	1
"ATG5"	1
"ATM"	1
"ATP1A1"	1
"ATP1A3"	1
"ATP2A2"	1
"ATP2B1"	1
"ATP5B"	1
"ATP5C1"	1
"ATP5EP2"	1
"ATP5I"	1
"ATP5J"	1
"ATP5L"	1
"ATP6V0A1"	1
"ATP6V0C"	1
"ATP6V0E1"	1
"ATXN7L3"	1
"AUH"	1
"AURKA"	1
"AURKAIP1"	1
"AZI1"	0
"AZU1"	0
"B4GALT6"	1
"B9D1"	1
"BATF2"	1
"BCCIP"	1
"BCL11A"	1
"BCL11B"	1
"BCL2L2"	1
"BCL6"	1
"BCL9L"	1
"BCLAF1"	1
"BET3L"	1
"BHLHE40"	1
"BIRC2"	1
"BIRC3"	1
"BIRC7"	0
"BLCAP"	1
"BOD1"	1
"BOLA3"	1
"BOP1"	1
"BPGM"	1
"BPNT1"	1
"BRD4"	1
"BRMS1"	1
"BRMS1L"	1
"BROX"	1
"BRPF3"	1
"BSG"	0
"BST2"	1
"BTAF1"	1
"BUB1B"	1
"C11orf2"	1
"C11orf83"	1
"C12orf10"	1
"C12orf42"	1
"C12orf65"	1
"C12orf71"	1
"C14orf109"	1
"C14orf166"	1
"C14orf28"	1
"C15orf39"	1
"C15orf42"	1
"C15orf53"	1
"C16orf42"	0
"C16orf48"	1
"C16orf52"	1
"C16orf59"	1
"C16orf70"	1
"C16orf87"	1
"C16orf89"	1
"C16orf91"	1
"C17orf48"	1
"C17orf49"	1
"C18orf21"	1
"C19orf24"	0
"C19orf25"	0
"C19orf29"	1
"C19orf43"	1
"C19orf59"	0
"C19orf60"	0
"C19orf71"	0
"C19orf77"	1
"C1orf114"	1
"C1orf116"	1
"C1orf131"	1
"C1orf186"	1
"C1orf189"	1
"C1orf192"	1
"C1orf56"	1
"C1orf61"	1
"C1orf74"	1
"C1S"	1
"C20orf202"	1
"C22orf13"	1
"C22orf46"	1
"C2orf16"	1
"C2orf29"	1
"C3orf58"	1
"C4orf27"	1
"C4orf46"	1
"C5orf15"	1
"C5orf24"	1
"C5orf51"	1
"C6orf170"	1
"C6orf203"	1
"C6orf25"	1
"C6orf52"	1
"C7orf60"	1
"C8orf39"	1
"C8orf45"	1
"C8orf77"	1
"C9orf103"	1
"C9orf82"	1
"C9orf86"	0
"C9orf96"	1
"CABP4"	1
"CACNB1"	1
"CALD1"	1
"CAMK2G"	1
"CAMP"	1
"CAPZA1"	1
"CASC4"	1
"CASC5"	1
"CASP6"	1
"CASS4"	1
"CATSPER3"	1
"CAV1"	1
"CBLB"	1
"CBWD6"	1
"CBX2"	0
"CBX5"	1
"CCAR1"	1
"CCBP2"	1
"CCDC102B"	1
"CCDC106"	1
"CCDC11"	1
"CCDC113"	1
"CCDC121"	1
"CCDC124"	0
"CCDC14"	1
"CCDC28B"	1
"CCDC41"	1
"CCDC43"	1
"CCDC51"	1
"CCDC56"	1
"CCDC7"	1
"CCDC96"	1
"CCL2"	1
"CCL28"	1
"CCL3"	1
"CCL5"	1
"CCNA2"	1
"CCNDBP1"	1
"CCNI"	1
"CCNK"	1
"CCNL2"	1
"CCNT1"	1
"CCNY"	1
"CCR10"	1
"CD2"	1
"CD200"	1
"CD248"	1
"CD38"	1
"CD46"	1
"CD58"	1
"CD74"	1
"CD79A"	1
"CD80"	1
"CD97"	1
"CDC20"	1
"CDC25C"	1
"CDC27"	1
"CDC37"	1
"CDC40"	1
"CDC5L"	1
"CDCA3"	1
"CDCA5"	1
"CDK1"	1
"CDK17"	1
"CDK20"	1
"CDK2AP2"	1
"CDKN1C"	1
"CDKN2C"	1
"CDNF"	1
"CDR2L"	1
"CDYL"	1
"CEACAM1"	1
"CEACAM6"	1
"CEBPG"	1
"CENPJ"	1
"CEP120"	1
"CEP70"	1
"CERCAM"	1
"CES2"	1
"CGRRF1"	1
"CHAC1"	1
"CHAD"	1
"CHCHD1"	1
"CHCHD3"	1
"CHD3"	1
"CHD8"	1
"CHDH"	1
"CHERP"	1
"CHKB"	0
"CHMP5"	1
"CHTF18"	0
"CIC"	1
"CIRBP"	1
"CIT"	1
"CIZ1"	1
"CLASRP"	1
"CLCF1"	1
"CLCN3"	1
"CLDN12"	1
"CLDN20"	1
"CLDND1"	1
"CLEC18B"	1
"CLIC1"	1
"CLIC3"	0
"CLINT1"	1
"CLK1"	1
"CLK2"	1
"CLTC"	1
"CMIP"	1
"CNBP"	1
"CNGB1"	1
"CNN1"	1
"CNN2"	0
"CNNM3"	1
"COBLL1"	1
"COBRA1"	0
"COG3"	1
"COIL"	1
"COL4A3BP"	1
"COL4A4"	1
"COPB2"	1
"COPS4"	1
"COPS5"	1
"COPS7B"	1
"COPZ1"	1
"COQ9"	1
"CORO7"	0
"COX17"	1
"COX5B"	1
"COX6A1"	1
"COX7C"	1
"CPSF3L"	0
"CPSF6"	1
"CPT1B"	0
"CRADD"	1
"CREB3L3"	0
"CREBL2"	1
"CRIP1"	1
"CRTC2"	1
"CS"	1
"CSAD"	1
"CSNK1A1"	1
"CSNK2A1"	1
"CSPP1"	1
"CTAGE1"	1
"CTCF"	1
"CTDSPL2"	1
"CTR9"	1
"CTSA"	1
"CUEDC2"	1
"CUL5"	1
"CUTC"	1
"CXCR4"	1
"CXCR5"	1
"CXCR7"	1
"CXXC1"	1
"CYB561D2"	1
"CYB5R4"	1
"CYCS"	1
"CYP20A1"	1
"CYTH1"	1
"DACT1"	1
"DAK"	1
"DAZAP1"	1
"DBP"	1
"DBT"	1
"DCAF15"	1
"DCAF5"	1
"DCDC2B"	1
"DCTN2"	1
"DCUN1D4"	1
"DCUN1D5"	1
"DDI2"	1
"DDX41"	1
"DDX46"	1
"DDX54"	1
"DEDD2"	1
"DEK"	1
"DENND4A"	1
"DENR"	1
"DERA"	1
"DHCR7"	1
"DHX15"	1
"DHX29"	1
"DHX30"	1
"DHX38"	1
"DHX9"	1
"DIAPH3"	1
"DLAT"	1
"DLGAP3"	1
"DLGAP4"	1
"DLST"	1
"DMTF1"	1
"DMXL1"	1
"DNAJB9"	1
"DNAJC11"	1
"DNAJC13"	1
"DNAJC14"	1
"DNAJC2"	1
"DNAJC24"	1
"DNAJC6"	1
"DNM1L"	1
"DOCK1"	1
"DOLK"	1
"DOT1L"	1
"DPH2"	1
"DPM1"	1
"DPP7"	0
"DRAP1"	1
"DTNA"	1
"DUS1L"	1
"DUSP1"	1
"DUSP11"	1
"DUSP2"	1
"DUSP22"	1
"DVL1"	1
"DYNC2H1"	1
"DYNLL1"	1
"DYRK2"	1
"E2F7"	1
"EBF1"	1
"EBI3"	0
"ECT2"	1
"EDARADD"	1
"EDC4"	1
"EEF1A1"	1
"EEF1B2"	1
"EEF2K"	1
"EFNA1"	1
"EFNA4"	1
"EGFL7"	1
"EGR1"	1
"EGR3"	1
"EHD2"	1
"EIF1B"	1
"EIF3E"	1
"EIF3J"	1
"EIF4A2"	1
"EIF4G2"	1
"EIF5AL1"	1
"ELANE"	0
"ELMOD2"	1
"ENO2"	1
"ENOPH1"	1
"EP400"	1
"EPB41L1"	1
"EPB42"	1
"EPC1"	1
"EPC2"	1
"EPHA2"	1
"ERBB2"	1
"ERF"	1
"ERG"	1
"ERGIC1"	1
"ERH"	1
"ERLEC1"	1
"ERLIN2"	1
"ESCO1"	1
"ETAA1"	1
"ETF1"	1
"ETS1"	1
"ETV3"	1
"EVI2B"	1
"EXD2"	1
"EXO1"	1
"EXOSC2"	1
"EXOSC4"	1
"EYA2"	1
"EZH1"	1
"FAF1"	1
"FAM100A"	1
"FAM108A1"	1
"FAM132A"	1
"FAM160B2"	1
"FAM165B"	1
"FAM179B"	1
"FAM184A"	1
"FAM195A"	0
"FAM195B"	0
"FAM200A"	1
"FAM26E"	1
"FAM40B"	1
"FAM46A"	1
"FAM46C"	1
"FAM53B"	1
"FAM54A"	1
"FAM76A"	1
"FAM78A"	1
"FAM91A1"	1
"FAM96B"	1
"FAM98A"	1
"FAM98B"	1
"FAR2"	1
"FBF1"	1
"FBRS"	1
"FBXL14"	1
"FBXL19"	1
"FBXL3"	1
"FBXO45"	1
"FBXO8"	1
"FBXO9"	1
"FBXW4"	1
"FECH"	1
"FER"	1
"FERMT2"	1
"FGL2"	1
"FH"	1
"FICD"	1
"FILIP1L"	1
"FIP1L1"	1
"FKBP3"	1
"FLII"	0
"FLT3"	1
"FLT3LG"	1
"FMNL1"	1
"FNDC3A"	1
"FNIP1"	1
"FOS"	1
"FOSB"	1
"FOXD2"	1
"FOXK1"	0
"FOXO1"	1
"FRMD8"	1
"FRYL"	1
"FUT4"	1
"FXR2"	1
"FYB"	1
"FZD5"	1
"FZD9"	1
"GABARAPL2"	1
"GABPB1"	1
"GADD45GIP1"	1
"GALNT3"	1
"GALR2"	1
"GAMT"	0
"GAN"	1
"GATA2"	1
"GBF1"	1
"GBP1"	1
"GBP2"	1
"GCA"	1
"GCNT7"	1
"GDPD1"	1
"GEMIN5"	1
"GGA3"	1
"GIN1"	1
"GJC2"	1
"GJC3"	1
"GLIS2"	1
"GLUD1"	1
"GMFB"	1
"GMPPA"	1
"GMPR"	1
"GNAI2"	1
"GNB2"	1
"GNL1"	1
"GNPAT"	1
"GNRH1"	1
"GOLGA2"	1
"GOLGA3"	1
"GOPC"	1
"GORASP2"	1
"GP9"	1
"GPATCH4"	1
"GPR150"	1
"GPR152"	1
"GPR75"	1
"GPR89B"	1
"GPR97"	0
"GPRC5D"	1
"GPS1"	1
"GPSM3"	1
"GSG2"	1
"GSK3A"	1
"GSS"	1
"GSTP1"	1
"GTF2E1"	1
"GTF2H3"	1
"GTF2IRD1"	1
"GTF3C1"	1
"GTF3C2"	1
"GTF3C6"	1
"GTPBP1"	1
"GTPBP2"	1
"GZMM"	0
"H2AFJ"	1
"H2AFY"	1
"HBB"	1
"HBD"	1
"HCFC2"	1
"HCST"	1
"HDAC1"	1
"HDAC10"	0
"HDAC2"	1
"HDC"	1
"HEATR7A"	0
"HECA"	1
"HECTD1"	1
"HES7"	1
"HESX1"	1
"HEYL"	1
"HIGD1A"	1
"HIGD1B"	1
"HIGD2B"	1
"HINT3"	1
"HIPK3"	1
"HIST1H1D"	1
"HIST1H2AC"	1
"HIST1H2AM"	1
"HIST1H2BE"	1
"HIST1H3H"	1
"HIST2H2AC"	1
"HIST3H2BB"	1
"HLX"	1
"HMGA1"	1
"HMGB1"	1
"HMHA1"	1
"HNRNPA2B1"	1
"HNRNPC"	1
"HNRNPD"	1
"HNRNPF"	1
"HNRNPH1"	1
"HNRNPH3"	1
"HNRNPL"	1
"HNRNPM"	1
"HNRNPUL1"	1
"HNRNPUL2"	1
"HNRPDL"	1
"HOMER1"	1
"HOOK3"	1
"HPDL"	1
"HPGDS"	1
"HPSE2"	1
"HS1BP3"	1
"HSD11B1"	1
"HSD17B6"	1
"HSF5"	1
"HSH2D"	1
"HSP90AB1"	1
"HSPA1A"	1
"HSPA5"	1
"HSPA8"	1
"HSPBP1"	1
"HTT"	1
"HYAL2"	1
"IBTK"	1
"ICT1"	1
"IDE"	1
"IER2"	1
"IER5L"	1
"IFI6"	1
"IFIT2"	1
"IFIT3"	1
"IFNG"	1
"IFT20"	1
"IFT80"	1
"IFT81"	1
"IGF1"	1
"IGF2BP2"	1
"IGJ"	1
"IGSF3"	1
"IKZF2"	1
"IL12A"	1
"IL1B"	1
"IL5RA"	1
"IL6R"	1
"IL7"	1
"ILF3"	1
"IMPG2"	1
"INHBE"	1
"INPP4A"	1
"INTS2"	1
"INTS6"	1
"IPO5"	1
"IQCC"	1
"IRF8"	1
"JAK3"	0
"JPH4"	1
"JRKL"	1
"JTB"	1
"JUNB"	1
"KATNA1"	1
"KBTBD10"	1
"KBTBD4"	1
"KBTBD6"	1
"KCMF1"	1
"KCNG1"	1
"KCNH7"	1
"KCNJ14"	1
"KCNK10"	1
"KCNK12"	1
"KCTD1"	1
"KCTD17"	1
"KCTD19"	1
"KCTD6"	1
"KEL"	1
"KHDRBS1"	1
"KHDRBS3"	1
"KHSRP"	1
"KIAA0125"	1
"KIAA0195"	1
"KIAA0232"	1
"KIAA0319L"	1
"KIAA0664"	1
"KIAA0754"	1
"KIAA0895L"	1
"KIAA0907"	1
"KIAA0913"	1
"KIAA1107"	1
"KIAA1217"	1
"KIAA1731"	1
"KIAA1958"	1
"KIF15"	1
"KIF18A"	1
"KIF20A"	1
"KIF21A"	1
"KIF21B"	1
"KIF22"	1
"KIF2C"	1
"KIR2DL4"	1
"KIRREL2"	1
"KISS1R"	0
"KLF16"	1
"KLF6"	1
"KLF9"	1
"KLHDC1"	1
"KLHDC3"	1
"KLHL14"	1
"KLRB1"	1
"KLRF1"	1
"KPNA3"	1
"KPNA4"	1
"KPNB1"	1
"L2HGDH"	1
"L3MBTL1"	1
"LACE1"	1
"LAMB1"	1
"LAMP1"	1
"LARP1B"	1
"LARP7"	1
"LARS"	1
"LAYN"	1
"LCK"	1
"LCN12"	1
"LCNL1"	0
"LCORL"	1
"LEAP2"	1
"LEF1"	1
"LETM2"	1
"LIG4"	1
"LINGO3"	0
"LMBR1L"	1
"LMBRD1"	1
"LPPR3"	0
"LRCH3"	1
"LRP1"	1
"LRP5"	1
"LRRC34"	1
"LRRC36"	1
"LRRC59"	1
"LRRC66"	1
"LRRN2"	1
