"tissue"	"locus"	"locstart"	"locstop"	"chr"	"index"	"pheno"	"genestart"	"genestop"	"p"	"genename"	"p_meta"	"SignifGene"	"p_conditional"
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	27938575	27961788	0.0470635193	"FGR"	0.5097	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52444673	52457657	0.3300672542	"PHF7"	0.1149	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52467069	52479101	0.9472409272	"SEMA3G"	0.7253	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52529354	52558511	0.8216774385	"STAB1"	0.2842	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52728505	52740048	4.8285571e-07	"GLT8D1"	0.2911	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	120971283	121015397	0.049430899	"RNF10"	0.4206	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52232102	52248343	0.05699622	"ALAS1"	0.01308	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	51976361	51982883	0.8735889446	"PARP3"	0.5937	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52846991	52865495	9.594735e-06	"ITIH4"	0.7118	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52811603	52826078	0.169075978	"ITIH1"	0.3734	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	121570622	121623876	0.1723635754	"P2RX7"	0.2793	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	121746048	121837699	0.861756767	"ANAPC5"	0.2189	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	121866900	122018920	0.4232636048	"KDM2B"	0.3737	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	120565007	120632513	0.3863277309	"GCN1L1"	0.1424	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	120634489	120639038	0.03734833	"RPLP0"	0.3931	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	120740119	120751052	0.0004374331	"SIRT4"	0.002479	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	27425306	27493472	0.3033736531	"SLC9A1"	0.7245	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	120941077	120972237	0.988127065	"COQ5"	0.09577	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	121675497	121736111	0.7991947652	"CAMKK2"	0.3856	0	NA
"DGN"	NA	NA	NA	12	""	"MCV_invnorm"	120532899	120555306	0.0158769952	"RAB35"	0.9687	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	51967446	51975957	0.3729674062	"RRP9"	0.4752	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52002526	52017425	0.3734068528	"ABHD14B"	0.3716	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52350335	52434507	0.6291784215	"DNAH1"	0.5744	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52485118	52488086	0.4991006523	"TNNC1"	0.283	0	NA
"DGN"	NA	NA	NA	3	""	"RBC_invnorm"	52738971	52742182	0.000308679	"SPCS1"	0.221	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	28218035	28241257	0.7361118656	"RPA2"	0.4131	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	28099694	28150963	0.03781577	"STX12"	0.8655	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	28525967	28559536	0.0325453758	"DNAJC8"	0.03345	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	28586038	28609002	0.2511970026	"SESN2"	0.5524	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	28261504	28285668	0.0052622304	"SMPDL3B"	0.8167	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	28562620	28573417	0.0650373815	"ATPIF1"	0.07473	0	NA
"DGN"	NA	NA	NA	1	""	"RBC_invnorm"	28655513	28662476	0.0718031106	"MED18"	0.6655	0	NA
